UserId,total,mean,median,avg_1week_rev,total_1week_rev
3238393,30.0,30.0,30.0,30.0,30.0
3238417,80.0,80.0,80.0,80.0,80.0
3238516,16.2,16.2,16.2,16.2,16.2
3238531,131.31,43.77,46.04,42.635000000000005,85.27000000000001
3238560,61920.0,4763.08,3000.0,1500.0,3000.0
3238719,20.0,20.0,20.0,20.0,20.0
3238743,20.0,20.0,20.0,20.0,20.0
3238796,80.0,26.67,20.0,30.0,60.0
3239015,40.0,20.0,20.0,20.0,20.0
3239248,25.58,25.58,25.58,25.58,25.58
3239514,100.0,100.0,100.0,100.0,100.0
3239565,76.74,76.74,76.74,76.74,76.74
3239884,525.0,25.0,20.0,60.0,60.0
3239952,93.79,93.79,93.79,93.79,93.79
3239959,348.68,43.59,26.99,64.58250000000001,258.33000000000004
3240153,341.06,341.06,341.06,341.06,341.06
3240293,40.0,20.0,20.0,20.0,20.0
3240351,60.19,30.1,30.1,42.63,42.63
3240356,26.72,26.72,26.72,26.72,26.72
3240384,405.0,45.0,30.0,50.0,50.0
3240500,70.0,35.0,35.0,50.0,50.0
3240505,815.25,271.75,281.37,281.37,281.37
3240506,21.32,21.32,21.32,21.32,21.32
3240515,200.0,200.0,200.0,200.0,200.0
3240548,53.01,17.67,17.54,17.05,17.05
3240561,89.08,89.08,89.08,89.08,89.08
3240567,55.0,27.5,27.5,27.5,55.0
3240590,17.82,17.82,17.82,17.82,17.82
3240645,20.0,20.0,20.0,20.0,20.0
3240652,267.24,267.24,267.24,267.24,267.24
3240663,100.0,100.0,100.0,100.0,100.0
3240773,60.0,60.0,60.0,60.0,60.0
3240835,2174.28,2174.28,2174.28,2174.28,2174.28
3240851,240.0,240.0,240.0,240.0,240.0
3240870,99.0,19.8,18.42,17.05,17.05
3240874,17.05,17.05,17.05,17.05,17.05
3240881,85.27,85.27,85.27,85.27,85.27
3240910,639.5,159.88,170.54,159.875,639.5
3240947,35.76,11.92,11.68,11.68,23.36
3241080,125.44,62.72,62.72,89.08,89.08
3241141,567.03,113.41,119.37,113.40599999999999,567.03
3241188,89.08,89.08,89.08,89.08,89.08
3241194,147.26,36.82,29.78,34.11,34.11
3241207,100.0,20.0,20.0,20.0,40.0
3241305,918.15,70.63,42.72,122.78,122.78
3241438,29.08,29.08,29.08,29.08,29.08
3241464,570.0,51.82,20.0,20.0,40.0
3241476,605.0,31.84,20.0,50.0,150.0
3241535,60.0,30.0,30.0,40.0,40.0
3241552,2250.0,1125.0,1125.0,1125.0,2250.0
3241587,52.45,26.22,26.22,25.58,25.58
3241592,200.0,200.0,200.0,200.0,200.0
3241625,85.27,85.27,85.27,85.27,85.27
3241654,21.32,21.32,21.32,21.32,21.32
3241662,48.6,48.6,48.6,48.6,48.6
3241672,42.63,42.63,42.63,42.63,42.63
3241673,187.58,187.58,187.58,187.58,187.58
3241696,17.05,17.05,17.05,17.05,17.05
3241716,542.97,90.5,85.14,170.53,170.53
3241775,120.0,120.0,120.0,120.0,120.0
3241841,21.32,21.32,21.32,21.32,21.32
3241845,140.77,35.19,19.2,53.295,106.59
3241864,702.93,117.15,127.98,129.605,259.21
3241884,150.0,150.0,150.0,150.0,150.0
3241903,195.46,195.46,195.46,195.46,195.46
3241919,455.0,91.0,20.0,375.0,375.0
3241978,30.0,30.0,30.0,30.0,30.0
3241983,206.0,103.0,103.0,187.58,187.58
3242030,80.0,80.0,80.0,80.0,80.0
3242064,26.72,26.72,26.72,26.72,26.72
3242107,93.0,23.25,21.5,22.0,22.0
3242123,102.92,17.15,17.07,17.05,17.05
3242127,100.0,25.0,20.0,20.0,20.0
3242145,213.17,71.06,85.27,63.95,127.9
3242150,80.0,26.67,30.0,30.0,60.0
3242157,30.0,30.0,30.0,30.0,30.0
3242173,65.66,32.83,32.83,32.83,65.66
3242177,110.32,55.16,55.16,56.27,56.27
3242180,22.27,22.27,22.27,22.27,22.27
3242192,76.74,76.74,76.74,76.74,76.74
3242338,50.0,50.0,50.0,50.0,50.0
3242356,17.05,17.05,17.05,17.05,17.05
3242381,5860.39,1465.1,1085.18,1449.52,1449.52
3242387,300.0,300.0,300.0,300.0,300.0
3242393,50.0,25.0,25.0,20.0,20.0
3242395,69.94,34.97,34.97,34.11,34.11
3242399,52.05,17.35,17.09,17.05,17.05
3242440,11.68,11.68,11.68,11.68,11.68
3242596,17.05,17.05,17.05,17.05,17.05
3242672,20.0,20.0,20.0,20.0,20.0
3242682,39.0,19.5,19.5,0.0,0.0
3242717,20.0,20.0,20.0,20.0,20.0
3242736,50.0,25.0,25.0,30.0,30.0
3242769,20.0,20.0,20.0,20.0,20.0
3242810,42.63,42.63,42.63,42.63,42.63
3242837,17.05,17.05,17.05,17.05,17.05
3242866,40.0,40.0,40.0,40.0,40.0
3242917,20.0,20.0,20.0,20.0,20.0
3242989,333.15,19.6,17.56,51.16,51.16
3243024,42.63,42.63,42.63,42.63,42.63
3243026,20.0,20.0,20.0,20.0,20.0
3243038,20.0,20.0,20.0,20.0,20.0
3243049,3260.38,51.75,42.72,39.08,234.48
3243065,120.0,24.0,20.0,30.0,60.0
3243169,90.0,45.0,45.0,45.0,90.0
3243192,2900.0,2900.0,2900.0,2900.0,2900.0
3243243,1220.0,93.85,100.0,100.0,100.0
3243255,585.36,195.12,178.16,178.16,178.16
3243301,116.41,29.1,26.78,26.72,26.72
3243333,201.21,50.3,30.49,29.845,59.69
3243390,17.05,17.05,17.05,17.05,17.05
3243427,1975.0,179.55,100.0,225.0,450.0
3243458,140.0,35.0,20.0,50.0,100.0
3243490,84.43,42.22,42.22,29.19,29.19
3243594,22.27,22.27,22.27,22.27,22.27
3243598,44.54,22.27,22.27,22.27,44.54
3243608,1104.75,52.61,45.45,53.45,53.45
3243667,42.63,42.63,42.63,42.63,42.63
3243681,341.94,48.85,44.71,22.27,22.27
3243758,400.0,400.0,400.0,400.0,400.0
3243803,120.0,60.0,60.0,100.0,100.0
3243810,1035.0,73.93,70.0,54.0,270.0
3244228,20.0,20.0,20.0,20.0,20.0
3244261,120.0,20.0,20.0,20.0,60.0
3244302,39.36,19.68,19.68,17.05,17.05
3244306,38.37,38.37,38.37,38.37,38.37
3244411,30.0,30.0,30.0,30.0,30.0
3244461,68.21,68.21,68.21,68.21,68.21
3244557,18.71,18.71,18.71,18.71,18.71
3244671,53.0,53.0,53.0,53.0,53.0
3244674,128.76,25.75,18.42,46.9,46.9
3244881,20.0,20.0,20.0,20.0,20.0
3244901,133.87,44.62,22.27,22.27,22.27
3244930,17.05,17.05,17.05,17.05,17.05
3245012,50.0,50.0,50.0,50.0,50.0
3245096,25.0,25.0,25.0,25.0,25.0
3245184,55.0,27.5,27.5,25.0,25.0
3245421,81.6,40.8,40.8,40.800000000000004,81.60000000000001
3245739,34.11,34.11,34.11,34.11,34.11
3245775,50.0,50.0,50.0,50.0,50.0
3246030,17.82,17.82,17.82,17.82,17.82
3246039,467.1,467.1,467.1,467.1,467.1
3246046,17.82,17.82,17.82,17.82,17.82
3246128,17.52,17.52,17.52,17.52,17.52
3246190,11.68,11.68,11.68,11.68,11.68
3246193,440.0,62.86,20.0,20.0,60.0
3246330,17.82,17.82,17.82,17.82,17.82
3246332,700.0,58.33,50.0,70.0,350.0
3246514,224.51,112.26,112.26,133.62,133.62
3246662,200.0,200.0,200.0,200.0,200.0
3246801,20.0,20.0,20.0,20.0,20.0
3246815,140.0,20.0,20.0,20.0,60.0
3246827,40.0,40.0,40.0,40.0,40.0
3246883,396.92,44.1,51.16,42.63249999999999,170.52999999999997
3246944,40.0,20.0,20.0,20.0,40.0
3247011,20.0,20.0,20.0,20.0,20.0
3247051,20.0,20.0,20.0,20.0,20.0
3247065,107.86,107.86,107.86,107.86,107.86
3247074,26.72,26.72,26.72,26.72,26.72
3247104,21.32,21.32,21.32,21.32,21.32
3247119,120.0,120.0,120.0,120.0,120.0
3247258,17.05,17.05,17.05,17.05,17.05
3247262,2890.0,120.42,45.0,455.0,910.0
3247334,26.72,26.72,26.72,26.72,26.72
3247346,17.05,17.05,17.05,17.05,17.05
3247360,102.17,51.08,51.08,42.63,42.63
3247379,50.0,50.0,50.0,50.0,50.0
3247385,17.05,17.05,17.05,17.05,17.05
3247394,25.0,25.0,25.0,25.0,25.0
3247437,17.05,17.05,17.05,17.05,17.05
3247687,391.95,130.65,68.04,281.38,281.38
3247815,228.5,76.17,62.88,62.88,62.88
3247857,25.0,25.0,25.0,25.0,25.0
3247906,85.27,85.27,85.27,85.27,85.27
3247929,245.0,24.5,20.0,65.0,65.0
3247969,365.78,182.89,182.89,182.89,365.78
3248009,1120.0,80.0,62.5,225.0,225.0
3248040,102.74,51.37,51.37,85.27,85.27
3248060,17.05,17.05,17.05,17.05,17.05
3248149,69.21,17.3,17.12,17.05,17.05
3248218,44.54,44.54,44.54,44.54,44.54
3248265,550.0,110.0,100.0,100.0,300.0
3248300,2344.81,781.6,724.76,781.6033333333334,2344.81
3248381,32.4,32.4,32.4,32.4,32.4
3248385,80.0,80.0,80.0,80.0,80.0
3248421,63.95,63.95,63.95,63.95,63.95
3248434,78.65,19.66,17.99,25.58,25.58
